sno,name,rollno,marks
1,Ami,258cggt209,42
2,Oneida,357cggt280,11
3,Henrie,117cggt403,76
4,Winfield,937cggt372,34
5,Gretchen,904cggt558,13
6,Mikkel,929cggt774,35
7,Rudie,718cggt545,28
8,Dory,106cggt510,94
9,Husain,231cggt235,33
10,Hewet,977cggt447,81
11,Chryste,393cggt497,30
12,Adelheid,228cggt434,25
13,Elfrida,264cggt762,25
14,Abbey,402cggt009,95
15,Ruby,389cggt529,35
16,Kalila,296cggt494,76
17,Thorn,102cggt216,91
18,Harley,405cggt885,97
19,Witty,802cggt068,7
20,Viviana,460cggt635,74
21,Jacquie,866cggt654,7
22,Obediah,753cggt264,38
23,Albertine,211cggt672,73
24,Riley,731cggt779,96
25,Christina,972cggt545,12
26,Ignazio,756cggt861,43
27,Renaldo,122cggt641,70
28,Sloane,789cggt040,31
29,Marta,358cggt551,88
30,Sam,543cggt055,10
31,Carina,770cggt570,48
32,Rodie,036cggt122,1
33,Hailey,582cggt707,47
34,Ilaire,217cggt228,41
35,Marga,861cggt914,76
36,Haze,113cggt001,41
37,Timmie,963cggt980,84
38,Beryle,220cggt964,7
39,Darbie,846cggt617,35
40,Nikolaos,158cggt119,95
